../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M1500GeV_SR/Signal_M1500GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M2000GeV_SR/Signal_M2000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M2500GeV_SR/Signal_M2500GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M3000GeV_SR/Signal_M3000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M3500GeV_SR/Signal_M3500GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M4000GeV_SR/Signal_M4000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M4500GeV_SR/Signal_M4500GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M20000GeV_SR/Signal_M20000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M30000GeV_SR/Signal_M30000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M40000GeV_SR/Signal_M40000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M50000GeV_SR/Signal_M50000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M90000GeV_SR/Signal_M90000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M90000GeV_SR/Signal_M90000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M90000GeV_SR/Signal_M90000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M90000GeV_SR/Signal_M90000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M90000GeV_SR/Signal_M90000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M90000GeV_SR/Signal_M90000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M90000GeV_SR/Signal_M90000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M90000GeV_SR/Signal_M90000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M90000GeV_SR/Signal_M90000GeV_SR-2x0_area
3000.0,4000.0,5000.0,6000.0,7000.0,8000.0,9000.0,40000.0,60000.0,80000.0,100000.0,200000.0,300000.0,400000.0,500000.0,600000.0,700000.0,800000.0,900000.0,1000000.0
5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
2.991775e-01, 2.038137e-01, 1.509126e-01, 1.178876e-01, 9.559129e-02, 7.967387e-02, 6.782450e-02, 8.673806e-03, 4.944813e-03, 3.317712e-03, 2.352696e-03, 8.357984e-04, 4.751760e-04, 3.186020e-04, 2.336608e-04, 1.813645e-04, 1.463917e-04, 1.215970e-04, 1.032363e-04, 1.032363e-04
7.041139e-01, 4.840931e-01, 3.604209e-01, 2.825824e-01, 2.297380e-01, 1.918597e-01, 1.635754e-01, 2.111812e-02, 1.205018e-02, 8.088751e-03, 5.737570e-03, 2.039401e-03, 1.159672e-03, 7.776231e-04, 5.703355e-04, 4.427032e-04, 3.573454e-04, 2.968268e-04, 2.520110e-04, 2.520110e-04
1.396055e+00, 9.706328e-01, 7.275382e-01, 5.729773e-01, 4.673214e-01, 3.912093e-01, 3.341600e-01, 4.364358e-02, 2.493132e-02, 1.674467e-02, 1.188144e-02, 4.226060e-03, 2.403619e-03, 1.611937e-03, 1.182330e-03, 9.177837e-04, 7.408492e-04, 6.153966e-04, 5.224920e-04, 5.224920e-04
2.452932e+00, 1.728179e+00, 1.305691e+00, 1.033766e+00, 8.463378e-01, 7.105092e-01, 6.082380e-01, 8.053454e-02, 4.606619e-02, 3.096000e-02, 2.197688e-02, 7.823080e-03, 4.450643e-03, 2.985127e-03, 2.189716e-03, 1.699857e-03, 1.372203e-03, 1.139872e-03, 9.678101e-04, 9.678101e-04
3.936495e+00, 2.816106e+00, 2.147247e+00, 1.710482e+00, 1.406487e+00, 1.184633e+00, 1.016702e+00, 1.367600e-01, 7.834709e-02, 5.269549e-02, 3.742291e-02, 1.333360e-02, 7.587961e-03, 5.090161e-03, 3.734188e-03, 2.898996e-03, 2.340305e-03, 1.944125e-03, 1.650705e-03, 1.650705e-03
5.883518e+00, 4.282497e+00, 3.299457e+00, 2.646593e+00, 2.187023e+00, 1.848897e+00, 1.591388e+00, 2.179280e-01, 1.250630e-01, 8.418901e-02, 5.981983e-02, 2.133567e-02, 1.214603e-02, 8.149219e-03, 5.978962e-03, 4.642022e-03, 3.747603e-03, 3.113304e-03, 2.643500e-03, 2.643500e-03
8.299373e+00, 6.159007e+00, 4.800642e+00, 3.880666e+00, 3.224586e+00, 2.737377e+00, 2.363735e+00, 3.302337e-01, 1.898793e-01, 1.279454e-01, 9.096336e-02, 3.248119e-02, 1.849814e-02, 1.241349e-02, 9.108651e-03, 7.072437e-03, 5.710044e-03, 4.743790e-03, 4.028071e-03, 4.028071e-03
1.115463e+01, 8.456891e+00, 6.676880e+00, 5.443729e+00, 4.551123e+00, 3.881235e+00, 3.363431e+00, 4.804023e-01, 2.768155e-01, 1.867247e-01, 1.328380e-01, 4.749471e-02, 2.705996e-02, 1.816293e-02, 1.332913e-02, 1.035033e-02, 8.357010e-03, 6.943154e-03, 5.895817e-03, 5.895817e-03
