,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,pass,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v20/EaDM_Run3_Cosmics_Data_SR.root,hpass,Run3_Cosmics_Data_SR,Run3_Cosmics_Data_SR,,,,,,
281,Signal_M30000GeV_SR,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v20/EaDM_Signal_M30000GeV_SR.root,hpass,Signal_M30000GeV_SR,DM signal,,1.05,,lnN,,
282,Signal_M30000GeV_SR,pass,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v20/EaDM_Signal_M30000GeV_SR.root,hpass_RNNsyst_up,Signal_M30000GeV_SR,DM signal,,,1.0,shapes,Up,RNNsyst
283,Signal_M30000GeV_SR,pass,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v20/EaDM_Signal_M30000GeV_SR.root,hpass_RNNsyst_down,Signal_M30000GeV_SR,DM signal,,,1.0,shapes,Down,RNNsyst
284,Signal_M30000GeV_SR,pass,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v20/EaDM_Signal_M30000GeV_SR.root,hpass_pTsyst_up,Signal_M30000GeV_SR,DM signal,,,1.0,shapes,Up,pTsyst
285,Signal_M30000GeV_SR,pass,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v20/EaDM_Signal_M30000GeV_SR.root,hpass_pTsyst_down,Signal_M30000GeV_SR,DM signal,,,1.0,shapes,Down,pTsyst
286,Signal_M30000GeV_SR,pass,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v20/EaDM_Signal_M30000GeV_SR.root,hpass_t0syst_up,Signal_M30000GeV_SR,DM signal,,,1.0,shapes,Up,t0syst
287,Signal_M30000GeV_SR,pass,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v20/EaDM_Signal_M30000GeV_SR.root,hpass_t0syst_down,Signal_M30000GeV_SR,DM signal,,,1.0,shapes,Down,t0syst
288,Signal_M30000GeV_SR,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v20/EaDM_Signal_M30000GeV_SR.root,hpass,Signal_M30000GeV_SR,DM signal,,,,,,
401,data_obs,fail,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v20/EaDM_Run3_Cosmics_Data_SR.root,hfail,Run3_Cosmics_Data_SR,Run3_Cosmics_Data_SR,,,,,,
682,Signal_M30000GeV_SR,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v20/EaDM_Signal_M30000GeV_SR.root,hfail,Signal_M30000GeV_SR,DM signal,,1.05,,lnN,,
683,Signal_M30000GeV_SR,fail,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v20/EaDM_Signal_M30000GeV_SR.root,hfail_RNNsyst_up,Signal_M30000GeV_SR,DM signal,,,1.0,shapes,Up,RNNsyst
684,Signal_M30000GeV_SR,fail,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v20/EaDM_Signal_M30000GeV_SR.root,hfail_RNNsyst_down,Signal_M30000GeV_SR,DM signal,,,1.0,shapes,Down,RNNsyst
685,Signal_M30000GeV_SR,fail,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v20/EaDM_Signal_M30000GeV_SR.root,hfail_pTsyst_up,Signal_M30000GeV_SR,DM signal,,,1.0,shapes,Up,pTsyst
686,Signal_M30000GeV_SR,fail,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v20/EaDM_Signal_M30000GeV_SR.root,hfail_pTsyst_down,Signal_M30000GeV_SR,DM signal,,,1.0,shapes,Down,pTsyst
687,Signal_M30000GeV_SR,fail,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v20/EaDM_Signal_M30000GeV_SR.root,hfail_t0syst_up,Signal_M30000GeV_SR,DM signal,,,1.0,shapes,Up,t0syst
688,Signal_M30000GeV_SR,fail,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v20/EaDM_Signal_M30000GeV_SR.root,hfail_t0syst_down,Signal_M30000GeV_SR,DM signal,,,1.0,shapes,Down,t0syst
689,Signal_M30000GeV_SR,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v20/EaDM_Signal_M30000GeV_SR.root,hfail,Signal_M30000GeV_SR,DM signal,,,,,,
