,process,region,obj,norm,process_type,color,combine_idx,title
0,CMS_EXO26004_Background,fail,,,BKG,yellow,,CMS_EXO26004_Background
1,CMS_EXO26004_Background_0x0,pass,,,BKG,yellow,,CMS_EXO26004_Background
2,CMS_EXO26004_Background_1x0,pass,,,BKG,yellow,,CMS_EXO26004_Background
3,CMS_EXO26004_Background_1x0Prime,pass,,,BKG,yellow,,CMS_EXO26004_Background
4,CMS_EXO26004_Background_0x1,pass,,,BKG,yellow,,CMS_EXO26004_Background
5,CMS_EXO26004_Background_1x1,pass,,,BKG,yellow,,CMS_EXO26004_Background
6,CMS_EXO26004_Background_2x0,pass,,,BKG,yellow,,CMS_EXO26004_Background
7,CMS_EXO26004_Background_2x1,pass,,,BKG,yellow,,CMS_EXO26004_Background
8,CMS_EXO26004_Background_2x2,pass,,,BKG,yellow,,CMS_EXO26004_Background
9,CMS_EXO26004_Background_expo,pass,,,BKG,yellow,,CMS_EXO26004_Background
10,CMS_EXO26004_Background_sigmoid,pass,,,BKG,yellow,,CMS_EXO26004_Background
