,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,pass,default,black,DATA,1,RNN,./histograms_for_2DAlphabet_v4/EaDM_Cosmics_Data_SR.root,hpass_RNNsyst_up,Cosmics_Data_SR,Cosmics_Data_SR,,,1.0,shapes,Up,RNNsyst
1,data_obs,pass,default,black,DATA,1,RNN,./histograms_for_2DAlphabet_v4/EaDM_Cosmics_Data_SR.root,hpass_RNNsyst_down,Cosmics_Data_SR,Cosmics_Data_SR,,,1.0,shapes,Down,RNNsyst
2,data_obs,pass,default,black,DATA,1,pT,./histograms_for_2DAlphabet_v4/EaDM_Cosmics_Data_SR.root,hpass_pTsyst_up,Cosmics_Data_SR,Cosmics_Data_SR,,,1.0,shapes,Up,pTsyst
3,data_obs,pass,default,black,DATA,1,pT,./histograms_for_2DAlphabet_v4/EaDM_Cosmics_Data_SR.root,hpass_pTsyst_down,Cosmics_Data_SR,Cosmics_Data_SR,,,1.0,shapes,Down,pTsyst
4,data_obs,pass,default,black,DATA,1,t0,./histograms_for_2DAlphabet_v4/EaDM_Cosmics_Data_SR.root,hpass_t0syst_up,Cosmics_Data_SR,Cosmics_Data_SR,,,1.0,shapes,Up,t0syst
5,data_obs,pass,default,black,DATA,1,t0,./histograms_for_2DAlphabet_v4/EaDM_Cosmics_Data_SR.root,hpass_t0syst_down,Cosmics_Data_SR,Cosmics_Data_SR,,,1.0,shapes,Down,t0syst
6,data_obs,pass,default,black,DATA,1,nominal,./histograms_for_2DAlphabet_v4/EaDM_Cosmics_Data_SR.root,hpass,Cosmics_Data_SR,Cosmics_Data_SR,,,,,,
7,Signal_M500GeV_SR,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v4/EaDM_Signal_M500GeV_SR.root,hpass,Signal_M500GeV_SR,DM signal,,1.001,,lnN,,
8,Signal_M500GeV_SR,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v4/EaDM_Signal_M500GeV_SR.root,hpass,Signal_M500GeV_SR,DM signal,,,,,,
9,Signal_M1000GeV_SR,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v4/EaDM_Signal_M1000GeV_SR.root,hpass,Signal_M1000GeV_SR,DM signal,,1.001,,lnN,,
10,Signal_M1000GeV_SR,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v4/EaDM_Signal_M1000GeV_SR.root,hpass,Signal_M1000GeV_SR,DM signal,,,,,,
11,Signal_M1500GeV_SR,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v4/EaDM_Signal_M1500GeV_SR.root,hpass,Signal_M1500GeV_SR,DM signal,,1.001,,lnN,,
12,Signal_M1500GeV_SR,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v4/EaDM_Signal_M1500GeV_SR.root,hpass,Signal_M1500GeV_SR,DM signal,,,,,,
13,Signal_M2000GeV_SR,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v4/EaDM_Signal_M2000GeV_SR.root,hpass,Signal_M2000GeV_SR,DM signal,,1.001,,lnN,,
14,Signal_M2000GeV_SR,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v4/EaDM_Signal_M2000GeV_SR.root,hpass,Signal_M2000GeV_SR,DM signal,,,,,,
15,Signal_M2500GeV_SR,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v4/EaDM_Signal_M2500GeV_SR.root,hpass,Signal_M2500GeV_SR,DM signal,,1.001,,lnN,,
16,Signal_M2500GeV_SR,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v4/EaDM_Signal_M2500GeV_SR.root,hpass,Signal_M2500GeV_SR,DM signal,,,,,,
17,Signal_M3000GeV_SR,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v4/EaDM_Signal_M3000GeV_SR.root,hpass,Signal_M3000GeV_SR,DM signal,,1.001,,lnN,,
18,Signal_M3000GeV_SR,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v4/EaDM_Signal_M3000GeV_SR.root,hpass,Signal_M3000GeV_SR,DM signal,,,,,,
