,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,pass,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v4/EaDM_Cosmics_Data_SR.root,hpass,Cosmics_Data_SR,Cosmics_Data_SR,,,,,,
57,Signal_M4000GeV_SR,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v4/EaDM_Signal_M4000GeV_SR.root,hpass,Signal_M4000GeV_SR,DM signal,,1.001,,lnN,,
58,Signal_M4000GeV_SR,pass,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v4/EaDM_Signal_M4000GeV_SR.root,hpass_RNNsyst_up,Signal_M4000GeV_SR,DM signal,,,1.0,shapes,Up,RNNsyst
59,Signal_M4000GeV_SR,pass,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v4/EaDM_Signal_M4000GeV_SR.root,hpass_RNNsyst_down,Signal_M4000GeV_SR,DM signal,,,1.0,shapes,Down,RNNsyst
60,Signal_M4000GeV_SR,pass,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v4/EaDM_Signal_M4000GeV_SR.root,hpass_pTsyst_up,Signal_M4000GeV_SR,DM signal,,,1.0,shapes,Up,pTsyst
61,Signal_M4000GeV_SR,pass,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v4/EaDM_Signal_M4000GeV_SR.root,hpass_pTsyst_down,Signal_M4000GeV_SR,DM signal,,,1.0,shapes,Down,pTsyst
62,Signal_M4000GeV_SR,pass,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v4/EaDM_Signal_M4000GeV_SR.root,hpass_t0syst_up,Signal_M4000GeV_SR,DM signal,,,1.0,shapes,Up,t0syst
63,Signal_M4000GeV_SR,pass,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v4/EaDM_Signal_M4000GeV_SR.root,hpass_t0syst_down,Signal_M4000GeV_SR,DM signal,,,1.0,shapes,Down,t0syst
64,Signal_M4000GeV_SR,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v4/EaDM_Signal_M4000GeV_SR.root,hpass,Signal_M4000GeV_SR,DM signal,,,,,,
81,data_obs,fail,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v4/EaDM_Cosmics_Data_SR.root,hfail,Cosmics_Data_SR,Cosmics_Data_SR,,,,,,
138,Signal_M4000GeV_SR,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v4/EaDM_Signal_M4000GeV_SR.root,hfail,Signal_M4000GeV_SR,DM signal,,1.001,,lnN,,
139,Signal_M4000GeV_SR,fail,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v4/EaDM_Signal_M4000GeV_SR.root,hfail_RNNsyst_up,Signal_M4000GeV_SR,DM signal,,,1.0,shapes,Up,RNNsyst
140,Signal_M4000GeV_SR,fail,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v4/EaDM_Signal_M4000GeV_SR.root,hfail_RNNsyst_down,Signal_M4000GeV_SR,DM signal,,,1.0,shapes,Down,RNNsyst
141,Signal_M4000GeV_SR,fail,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v4/EaDM_Signal_M4000GeV_SR.root,hfail_pTsyst_up,Signal_M4000GeV_SR,DM signal,,,1.0,shapes,Up,pTsyst
142,Signal_M4000GeV_SR,fail,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v4/EaDM_Signal_M4000GeV_SR.root,hfail_pTsyst_down,Signal_M4000GeV_SR,DM signal,,,1.0,shapes,Down,pTsyst
143,Signal_M4000GeV_SR,fail,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v4/EaDM_Signal_M4000GeV_SR.root,hfail_t0syst_up,Signal_M4000GeV_SR,DM signal,,,1.0,shapes,Up,t0syst
144,Signal_M4000GeV_SR,fail,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v4/EaDM_Signal_M4000GeV_SR.root,hfail_t0syst_down,Signal_M4000GeV_SR,DM signal,,,1.0,shapes,Down,t0syst
145,Signal_M4000GeV_SR,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v4/EaDM_Signal_M4000GeV_SR.root,hfail,Signal_M4000GeV_SR,DM signal,,,,,,
