,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,pass,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v14/EaDM_Cosmics_Data_SR.root,hpass,Cosmics_Data_SR,Cosmics_Data_SR,,,,,,
313,Signal_M5000GeV_e5_SR,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v14/EaDM_Signal_M5000GeV_e5_SR.root,hpass,Signal_M5000GeV_e5_SR,DM signal,,1.05,,lnN,,
314,Signal_M5000GeV_e5_SR,pass,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v14/EaDM_Signal_M5000GeV_e5_SR.root,hpass_RNNsyst_up,Signal_M5000GeV_e5_SR,DM signal,,,1.0,shapes,Up,RNNsyst
315,Signal_M5000GeV_e5_SR,pass,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v14/EaDM_Signal_M5000GeV_e5_SR.root,hpass_RNNsyst_down,Signal_M5000GeV_e5_SR,DM signal,,,1.0,shapes,Down,RNNsyst
316,Signal_M5000GeV_e5_SR,pass,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v14/EaDM_Signal_M5000GeV_e5_SR.root,hpass_pTsyst_up,Signal_M5000GeV_e5_SR,DM signal,,,1.0,shapes,Up,pTsyst
317,Signal_M5000GeV_e5_SR,pass,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v14/EaDM_Signal_M5000GeV_e5_SR.root,hpass_pTsyst_down,Signal_M5000GeV_e5_SR,DM signal,,,1.0,shapes,Down,pTsyst
318,Signal_M5000GeV_e5_SR,pass,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v14/EaDM_Signal_M5000GeV_e5_SR.root,hpass_t0syst_up,Signal_M5000GeV_e5_SR,DM signal,,,1.0,shapes,Up,t0syst
319,Signal_M5000GeV_e5_SR,pass,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v14/EaDM_Signal_M5000GeV_e5_SR.root,hpass_t0syst_down,Signal_M5000GeV_e5_SR,DM signal,,,1.0,shapes,Down,t0syst
320,Signal_M5000GeV_e5_SR,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v14/EaDM_Signal_M5000GeV_e5_SR.root,hpass,Signal_M5000GeV_e5_SR,DM signal,,,,,,
329,data_obs,fail,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v14/EaDM_Cosmics_Data_SR.root,hfail,Cosmics_Data_SR,Cosmics_Data_SR,,,,,,
642,Signal_M5000GeV_e5_SR,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v14/EaDM_Signal_M5000GeV_e5_SR.root,hfail,Signal_M5000GeV_e5_SR,DM signal,,1.05,,lnN,,
643,Signal_M5000GeV_e5_SR,fail,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v14/EaDM_Signal_M5000GeV_e5_SR.root,hfail_RNNsyst_up,Signal_M5000GeV_e5_SR,DM signal,,,1.0,shapes,Up,RNNsyst
644,Signal_M5000GeV_e5_SR,fail,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v14/EaDM_Signal_M5000GeV_e5_SR.root,hfail_RNNsyst_down,Signal_M5000GeV_e5_SR,DM signal,,,1.0,shapes,Down,RNNsyst
645,Signal_M5000GeV_e5_SR,fail,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v14/EaDM_Signal_M5000GeV_e5_SR.root,hfail_pTsyst_up,Signal_M5000GeV_e5_SR,DM signal,,,1.0,shapes,Up,pTsyst
646,Signal_M5000GeV_e5_SR,fail,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v14/EaDM_Signal_M5000GeV_e5_SR.root,hfail_pTsyst_down,Signal_M5000GeV_e5_SR,DM signal,,,1.0,shapes,Down,pTsyst
647,Signal_M5000GeV_e5_SR,fail,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v14/EaDM_Signal_M5000GeV_e5_SR.root,hfail_t0syst_up,Signal_M5000GeV_e5_SR,DM signal,,,1.0,shapes,Up,t0syst
648,Signal_M5000GeV_e5_SR,fail,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v14/EaDM_Signal_M5000GeV_e5_SR.root,hfail_t0syst_down,Signal_M5000GeV_e5_SR,DM signal,,,1.0,shapes,Down,t0syst
649,Signal_M5000GeV_e5_SR,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v14/EaDM_Signal_M5000GeV_e5_SR.root,hfail,Signal_M5000GeV_e5_SR,DM signal,,,,,,
