,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,pass,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v0/EaDM_Cosmics_Bkg_SR.root,hpass,Cosmics_Bkg_SR,Cosmics_Bkg_SR,,,,,,
41,Signal_M3000GeV_SR,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v0/EaDM_Signal_M3000GeV_SR.root,hpass,Signal_M3000GeV_SR,DM signal,,1.05,,lnN,,
42,Signal_M3000GeV_SR,pass,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v0/EaDM_Signal_M3000GeV_SR.root,hpass_RNNsyst_up,Signal_M3000GeV_SR,DM signal,,,1.0,shapes,Up,RNNsyst
43,Signal_M3000GeV_SR,pass,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v0/EaDM_Signal_M3000GeV_SR.root,hpass_RNNsyst_down,Signal_M3000GeV_SR,DM signal,,,1.0,shapes,Down,RNNsyst
44,Signal_M3000GeV_SR,pass,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v0/EaDM_Signal_M3000GeV_SR.root,hpass_pTsyst_up,Signal_M3000GeV_SR,DM signal,,,1.0,shapes,Up,pTsyst
45,Signal_M3000GeV_SR,pass,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v0/EaDM_Signal_M3000GeV_SR.root,hpass_pTsyst_down,Signal_M3000GeV_SR,DM signal,,,1.0,shapes,Down,pTsyst
46,Signal_M3000GeV_SR,pass,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v0/EaDM_Signal_M3000GeV_SR.root,hpass_t0syst_up,Signal_M3000GeV_SR,DM signal,,,1.0,shapes,Up,t0syst
47,Signal_M3000GeV_SR,pass,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v0/EaDM_Signal_M3000GeV_SR.root,hpass_t0syst_down,Signal_M3000GeV_SR,DM signal,,,1.0,shapes,Down,t0syst
48,Signal_M3000GeV_SR,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v0/EaDM_Signal_M3000GeV_SR.root,hpass,Signal_M3000GeV_SR,DM signal,,,,,,
81,data_obs,fail,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v0/EaDM_Cosmics_Bkg_SR.root,hfail,Cosmics_Bkg_SR,Cosmics_Bkg_SR,,,,,,
122,Signal_M3000GeV_SR,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v0/EaDM_Signal_M3000GeV_SR.root,hfail,Signal_M3000GeV_SR,DM signal,,1.05,,lnN,,
123,Signal_M3000GeV_SR,fail,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v0/EaDM_Signal_M3000GeV_SR.root,hfail_RNNsyst_up,Signal_M3000GeV_SR,DM signal,,,1.0,shapes,Up,RNNsyst
124,Signal_M3000GeV_SR,fail,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v0/EaDM_Signal_M3000GeV_SR.root,hfail_RNNsyst_down,Signal_M3000GeV_SR,DM signal,,,1.0,shapes,Down,RNNsyst
125,Signal_M3000GeV_SR,fail,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v0/EaDM_Signal_M3000GeV_SR.root,hfail_pTsyst_up,Signal_M3000GeV_SR,DM signal,,,1.0,shapes,Up,pTsyst
126,Signal_M3000GeV_SR,fail,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v0/EaDM_Signal_M3000GeV_SR.root,hfail_pTsyst_down,Signal_M3000GeV_SR,DM signal,,,1.0,shapes,Down,pTsyst
127,Signal_M3000GeV_SR,fail,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v0/EaDM_Signal_M3000GeV_SR.root,hfail_t0syst_up,Signal_M3000GeV_SR,DM signal,,,1.0,shapes,Up,t0syst
128,Signal_M3000GeV_SR,fail,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v0/EaDM_Signal_M3000GeV_SR.root,hfail_t0syst_down,Signal_M3000GeV_SR,DM signal,,,1.0,shapes,Down,t0syst
129,Signal_M3000GeV_SR,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v0/EaDM_Signal_M3000GeV_SR.root,hfail,Signal_M3000GeV_SR,DM signal,,,,,,
