,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,pass,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v13/EaDM_Cosmics_Data_VR.root,hpass,Cosmics_Data_VR,Cosmics_Data_VR,,,,,,
33,Signal_M3000GeV_VR,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v13/EaDM_Signal_M3000GeV_VR.root,hpass,Signal_M3000GeV_VR,DM signal,,1.05,,lnN,,
34,Signal_M3000GeV_VR,pass,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v13/EaDM_Signal_M3000GeV_VR.root,hpass_RNNsyst_up,Signal_M3000GeV_VR,DM signal,,,1.0,shapes,Up,RNNsyst
35,Signal_M3000GeV_VR,pass,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v13/EaDM_Signal_M3000GeV_VR.root,hpass_RNNsyst_down,Signal_M3000GeV_VR,DM signal,,,1.0,shapes,Down,RNNsyst
36,Signal_M3000GeV_VR,pass,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v13/EaDM_Signal_M3000GeV_VR.root,hpass_pTsyst_up,Signal_M3000GeV_VR,DM signal,,,1.0,shapes,Up,pTsyst
37,Signal_M3000GeV_VR,pass,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v13/EaDM_Signal_M3000GeV_VR.root,hpass_pTsyst_down,Signal_M3000GeV_VR,DM signal,,,1.0,shapes,Down,pTsyst
38,Signal_M3000GeV_VR,pass,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v13/EaDM_Signal_M3000GeV_VR.root,hpass_t0syst_up,Signal_M3000GeV_VR,DM signal,,,1.0,shapes,Up,t0syst
39,Signal_M3000GeV_VR,pass,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v13/EaDM_Signal_M3000GeV_VR.root,hpass_t0syst_down,Signal_M3000GeV_VR,DM signal,,,1.0,shapes,Down,t0syst
40,Signal_M3000GeV_VR,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v13/EaDM_Signal_M3000GeV_VR.root,hpass,Signal_M3000GeV_VR,DM signal,,,,,,
73,data_obs,fail,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v13/EaDM_Cosmics_Data_VR.root,hfail,Cosmics_Data_VR,Cosmics_Data_VR,,,,,,
106,Signal_M3000GeV_VR,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v13/EaDM_Signal_M3000GeV_VR.root,hfail,Signal_M3000GeV_VR,DM signal,,1.05,,lnN,,
107,Signal_M3000GeV_VR,fail,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v13/EaDM_Signal_M3000GeV_VR.root,hfail_RNNsyst_up,Signal_M3000GeV_VR,DM signal,,,1.0,shapes,Up,RNNsyst
108,Signal_M3000GeV_VR,fail,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v13/EaDM_Signal_M3000GeV_VR.root,hfail_RNNsyst_down,Signal_M3000GeV_VR,DM signal,,,1.0,shapes,Down,RNNsyst
109,Signal_M3000GeV_VR,fail,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v13/EaDM_Signal_M3000GeV_VR.root,hfail_pTsyst_up,Signal_M3000GeV_VR,DM signal,,,1.0,shapes,Up,pTsyst
110,Signal_M3000GeV_VR,fail,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v13/EaDM_Signal_M3000GeV_VR.root,hfail_pTsyst_down,Signal_M3000GeV_VR,DM signal,,,1.0,shapes,Down,pTsyst
111,Signal_M3000GeV_VR,fail,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v13/EaDM_Signal_M3000GeV_VR.root,hfail_t0syst_up,Signal_M3000GeV_VR,DM signal,,,1.0,shapes,Up,t0syst
112,Signal_M3000GeV_VR,fail,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v13/EaDM_Signal_M3000GeV_VR.root,hfail_t0syst_down,Signal_M3000GeV_VR,DM signal,,,1.0,shapes,Down,t0syst
113,Signal_M3000GeV_VR,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v13/EaDM_Signal_M3000GeV_VR.root,hfail,Signal_M3000GeV_VR,DM signal,,,,,,
